"TIME.M","SOG","AWS","AWA","COG","LAT","LON","TWS","TWA","AWS.range","TWS.range","AWA.range","TWA.range","target.SOG","diff.SOG","pol.perc"
2017-07-24 00:30:00,6.543,18.6114754098361,86.0491803278689,300.026666666667,45.7225207777778,-84.1692383333333,19.2981150123084,105.819040242499,"(16,20]","(16,20]","(60,90]","(60,90]",7.78570333093237,-1.24270333093237,84.0386503555158
2017-07-24 00:31:00,6.63266666666667,19.9661290322581,72.0564516129032,315.941,45.7236125555556,-84.1712696666667,19.0010887574433,91.4520848630346,"(16,20]","(16,20]","(60,90]","(60,90]",7.45930911777112,-0.826642451104449,88.9179756723709
2017-07-24 00:32:00,6.49966666666667,19.2622950819672,63.3606557377049,308.339333333333,45.7248185,-84.1731495,17.3496521699149,82.9246810650911,"(16,20]","(16,20]","(60,90]","(60,90]",7.16775648742532,-0.668089820758653,90.6792338449177
2017-07-24 00:33:00,6.37233333333333,16.8774193548387,60.9677419354839,311.466666666667,45.7259323888889,-84.1751755555556,14.8683179698614,82.9754649305878,"(16,20]","(12,16]","(60,90]","(60,90]",7.0998845899153,-0.727551256581971,89.7526326327137
2017-07-24 00:34:00,6.30133333333333,18.8548387096774,68.5483870967742,306.161666666667,45.7270003333333,-84.1770732777778,17.5587587269258,88.0607989530489,"(16,20]","(16,20]","(60,90]","(60,90]",7.27906863398372,-0.977735300650383,86.5678516055524
2017-07-24 00:35:00,6.04733333333333,18.2622950819672,59.4754098360656,308.532333333333,45.7280247777778,-84.1790428888889,16.0591644163819,78.4033105689714,"(16,20]","(16,20]","(30,60]","(30,60]",7.05764008057422,-1.01030674724089,85.684921082591
2017-07-24 00:36:00,6.076,19.791935483871,47.7983870967742,310.774666666667,45.729126,-84.1808628333333,16.3424868652866,63.7853084415732,"(16,20]","(16,20]","(30,60]","(30,60]",6.75239875817618,-0.676398758176179,89.9828374715406
2017-07-24 00:37:00,6.64633333333333,19.8354838709677,51.5887096774194,305.541666666667,45.7302007222222,-84.1828468888889,16.5470120159132,69.9333458866335,"(16,20]","(16,20]","(30,60]","(30,60]",6.89265570683488,-0.246322373501548,96.4263067244561
2017-07-24 00:38:00,6.46733333333333,20.4564516129032,52.3709677419355,307.958333333333,45.7313041111111,-84.1848730555556,17.2842065202718,69.6088724378045,"(20,24]","(16,20]","(30,60]","(30,60]",6.9030970247596,-0.435763691426269,93.6874175480469
2017-07-24 00:39:00,6.667,21.6931034482759,52.0689655172414,307.611333333333,45.7323987777778,-84.1869312777778,18.3638350817755,68.7089188586024,"(20,24]","(16,20]","(30,60]","(30,60]",6.92714960950384,-0.260149609503837,96.2444926965787
2017-07-24 00:40:00,6.55433333333333,20.2548387096774,61.1693548387097,306.668666666667,45.7335364444444,-84.1889967222222,18.0327767567363,79.7364855202796,"(20,24]","(16,20]","(60,90]","(60,90]",7.14883015966654,-0.594496826333204,91.683998457715
2017-07-24 00:41:00,6.66166666666667,20.2806451612903,70.0483870967742,307.405,45.7346316111111,-84.1910676111111,19.0651779381668,89.2227393831747,"(20,24]","(16,20]","(60,90]","(60,90]",7.40884366109726,-0.74717699443059,89.9150659858851
2017-07-24 00:42:00,6.79833333333333,20.0935483870968,60.4354838709677,302.939333333333,45.7357201666667,-84.1932126666667,17.75296145914,79.891441465436,"(20,24]","(16,20]","(60,90]","(60,90]",7.13448931532059,-0.336155981987254,95.2882965110706
2017-07-24 00:43:00,6.70233333333333,19.8903225806452,62.4435483870968,302.678,45.7367128333333,-84.1954187222222,17.8101202703994,81.9327980650286,"(16,20]","(16,20]","(60,90]","(60,90]",7.17641833044302,-0.474084997109687,93.3938494764362
